,precision,recall,f1-score,support
0,0.8245614035087719,0.94,0.8785046728971962,150.0
1,0.85,0.6296296296296297,0.723404255319149,81.0
accuracy,0.8311688311688312,0.8311688311688312,0.8311688311688312,0.8311688311688312
macro avg,0.837280701754386,0.7848148148148149,0.8009544641081726,231.0
weighted avg,0.8334814308498519,0.8311688311688312,0.8241188121880109,231.0
